<Phenotype>																					
taxa	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data
Taxa	Latitude	Longitude	wc2.1_30s_bio_1	wc2.1_30s_bio_10	wc2.1_30s_bio_11	wc2.1_30s_bio_12	wc2.1_30s_bio_13	wc2.1_30s_bio_14	wc2.1_30s_bio_15	wc2.1_30s_bio_16	wc2.1_30s_bio_17	wc2.1_30s_bio_18	wc2.1_30s_bio_19	wc2.1_30s_bio_2	wc2.1_30s_bio_3	wc2.1_30s_bio_4	wc2.1_30s_bio_5	wc2.1_30s_bio_6	wc2.1_30s_bio_7	wc2.1_30s_bio_8	wc2.1_30s_bio_9
Amur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Greenar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Manska	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nebraska50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oahe	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI315065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI315067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI315353	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI315354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI315355	44.67	43.52	9.85	22.30	-2.55	460.00	70.00	19.00	40.45	179.00	63.00	173.00	66.00	10.31	27.64	1009.01	30.50	-6.80	37.30	19.88	-1.38
PI316122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI317404	35.21	62.33	15.35	26.98	4.15	338.00	83.00	0.00	100.99	202.00	2.00	2.00	165.00	15.21	38.12	921.06	37.20	-2.70	39.90	5.30	26.98
PI317406	34.62	63.25	4.46	15.62	-7.77	340.00	71.00	1.00	95.92	197.00	3.00	4.00	197.00	14.44	36.01	943.89	24.90	-15.20	40.10	-7.77	14.42
PI318923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI325183	44.67	43.52	9.85	22.30	-2.55	460.00	70.00	19.00	40.45	179.00	63.00	173.00	66.00	10.31	27.64	1009.01	30.50	-6.80	37.30	19.88	-1.38
PI325190	43.86	42.79	6.35	15.52	-3.03	653.00	107.00	20.00	57.27	290.00	65.00	281.00	65.00	9.57	32.13	759.91	21.40	-8.40	29.80	13.73	-3.03
PI325191	43.86	42.79	6.35	15.52	-3.03	653.00	107.00	20.00	57.27	290.00	65.00	281.00	65.00	9.57	32.13	759.91	21.40	-8.40	29.80	13.73	-3.03
PI326209	50.27	87.44	-5.82	8.03	-20.03	437.00	78.00	8.00	67.67	213.00	26.00	213.00	34.00	10.97	26.97	1149.34	14.90	-25.80	40.70	8.03	-18.20
PI340064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI343186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI345586	47.83	38.44	9.12	21.35	-3.52	526.00	60.00	32.00	21.33	165.00	106.00	160.00	136.00	8.78	23.91	1020.31	28.50	-8.20	36.70	18.98	16.52
PI369174	54.40	83.34	1.01	17.05	-15.70	450.00	64.00	15.00	41.36	179.00	58.00	179.00	75.00	9.47	20.85	1334.16	24.50	-20.90	45.40	17.05	-13.83
PI380630	38.47	45.67	12.18	24.18	-0.73	257.00	44.00	4.00	57.55	119.00	19.00	32.00	54.00	11.67	29.46	1010.23	32.70	-6.90	39.60	11.13	24.05
PI380631	37.97	46.30	10.28	22.47	-2.35	268.00	49.00	3.00	61.66	126.00	14.00	25.00	62.00	11.23	29.03	1009.80	30.80	-7.90	38.70	8.87	22.27
PI380632	38.48	47.07	10.79	21.67	-0.57	351.00	60.00	9.00	50.39	145.00	35.00	55.00	69.00	11.79	32.22	903.35	30.00	-6.60	36.60	9.92	21.32
PI380633	38.48	47.07	10.79	21.67	-0.57	351.00	60.00	9.00	50.39	145.00	35.00	55.00	69.00	11.79	32.22	903.35	30.00	-6.60	36.60	9.92	21.32
