PI_Accession,Latitude,Longitude,Trials_Evaluated,Country_Origin,Latitude_DMS,Longitude_DMS,Cultivar_Name,PC1,PC2,PC3,PC4,PC5,K_2,K_3,K_4,K_5,CP,DMY,IVTD,NDF,FTH,PTHT,SDMG,PLYLD,CP_2008,CP_2009,DMY_2008,DMY_2009,IVTD_2008,IVTD_2009,NDF_2008,NDF_2009,FTH_2007,FTH_2008,FTH_2009,PTHT_2007,PTHT_2008,PTHT_2009,SDMG_2007,SDMG_2008,SDMG_2009,PLYLD_2007,PLYLD_2008,PLYLD_2009,ZDK_2008
PI229916,35.9475,52.10722222,Agronomic,Iran,35 56 51N,52 06 26E,NA,-30.88878953,-7.740535902,-2.480079509,0.000313973,-7.534273422,1,1,1,4,NA,NA,NA,NA,17.31211671,102.05118,5.795742444,7.777870904,NA,NA,NA,NA,NA,NA,NA,NA,11.42617177,26.53704883,15.29632602,102.6021313,109.8570013,97.49417608,5.106297141,6.833014582,5.186012998,10.96280478,7.209978687,2.319470034,44.9936838
PI229917,35.9475,52.10722222,Agronomic,Iran,35 56 51N,52 06 26E,NA,-5.196270882,-16.03258201,-2.30270203,7.57209761,-14.26978686,1,1,1,5,NA,NA,NA,NA,17.58694935,100.1563944,5.78841938,7.036393081,NA,NA,NA,NA,NA,NA,NA,NA,8.854646946,38.55138065,10.13531734,87.4647997,107.2952311,84.85612645,5.177417386,6.584686578,5.046797875,5.831058496,4.461519013,1.260609653,50.03921532
PI229918,35.69611111,51.42305556,Agronomic/Forage,Iran,35 41 46N,51 25 23E,NA,-23.0277802,-10.80040655,-5.537508084,-1.375677254,0.324979436,1,1,1,5,8.846494303,1.389676284,68.43348096,62.90055544,16.51117587,101.8932812,5.812069277,8.530466619,8.680343359,8.720853587,0.659317675,1.676451726,67.51069567,66.11118033,62.1419902,66.30448742,11.32532766,25.24402657,6.289859892,102.6021313,112.4187715,92.43895623,6.041020361,6.807147082,4.964300024,15.53472419,8.513476106,5.601937216,46.0027901
PI229919,35.9475,52.10722222,Agronomic,Iran,35 56 51N,52 06 26E,NA,-12.53880807,-2.722666747,5.979311308,11.23869693,-10.2719335,1,1,1,4,NA,NA,NA,NA,18.21121206,101.4195848,5.787338928,7.542684743,NA,NA,NA,NA,NA,NA,NA,NA,13.79600837,37.90486952,13.82898042,95.03346548,112.4187715,92.43895623,4.867536319,7.396926093,4.505405729,5.012052524,9.337003545,3.256561471,47.01189641
PI229921,35.9475,52.10722222,Agronomic,Iran,35 56 51N,52 06 26E,NA,52.50829888,0.518420277,-2.070219553,-1.631410603,-11.05659048,2,3,4,3,NA,NA,NA,NA,16.73496816,104.2617632,5.818431939,9.264247442,NA,NA,NA,NA,NA,NA,NA,NA,16.21626703,19.10217085,10.03412109,112.6936856,127.7893925,105.0770059,6.274701165,6.181153571,5.624282831,14.94897941,14.2529066,9.270888437,44.9936838
PI229928,35.71833333,52.52722222,Agronomic,Iran,35 43 06N,52 31 38E,NA,-45.14991247,4.214314693,-5.066113849,2.108054059,2.993413198,1,1,1,5,NA,NA,NA,NA,18.24262151,101.7353824,5.818071788,6.984652125,NA,NA,NA,NA,NA,NA,NA,NA,14.80444948,31.60138601,19.14178347,95.03346548,112.4187715,97.49417608,4.842136232,7.629733597,5.619126715,1.37836147,5.729650223,3.838934681,50.03921532
PI240129,38.08,46.29166667,Agronomic/Forage,Iran,38 04 48N,46 17 30E,NA,-0.014889037,-5.37586317,8.055230861,-20.75275573,-22.15577237,1,1,1,4,9.016277266,1.334166969,70.13048079,62.86584646,17.01372698,98.73530523,5.779535662,7.741951563,9.863396167,9.141573876,0.562726673,1.236308838,69.62547457,72.35755087,62.0372662,65.20343952,18.68694774,12.85256326,17.01666225,72.32746813,97.04815045,87.38373637,5.477138419,5.663803561,5.27882308,0.989592813,15.24316045,3.64304551,40.95725859
PI249145,NA,NA,Agronomic/Forage,NA,NA,NA,NA,35.04500997,-5.123979264,41.99384336,30.66148302,-16.03929377,2,3,4,3,8.329838817,1.442932618,69.77021972,62.85214057,16.53473295,103.7880668,5.821913396,8.326496076,7.373753388,4.427980847,0.831080973,2.01272514,70.60269306,69.62278535,60.31940606,66.18090583,13.94727454,17.10876153,11.60266295,107.6479085,122.6658522,107.6046158,5.903859888,6.895096584,5.438662666,7.894124172,14.85918447,4.230713022,46.0027901
PI249146,NA,NA,Agronomic,NA,NA,NA,NA,-33.33415806,33.35886894,4.672765176,13.63037368,-9.624484251,1,2,3,1,NA,NA,NA,NA,17.1511433,102.3669776,5.774613603,8.193081381,NA,NA,NA,NA,NA,NA,NA,NA,14.50191715,22.17309871,14.23376541,107.6479085,107.2952311,100.021786,4.831976197,6.662289079,4.727118703,5.551145062,13.22728654,6.681974805,51.04832162
PI253430,45.54666667,13.72916667,Agronomic/Forage,Slovenia,45 32 48N,13 43 45E,NA,77.68656569,-3.060481759,-14.06734312,-7.231775024,16.75764345,2,3,4,3,8.491175374,1.479107088,69.92035541,62.86477197,15.14093885,102.2090788,5.76825094,8.068646521,7.568366075,6.048829521,0.934640748,2.255396163,68.2312529,72.70261312,63.05681229,64.30778273,6.585654455,14.41496516,3.557561178,102.6021313,109.8570013,100.021786,4.908176459,6.341532073,4.696182009,5.623715212,8.675150204,9.837378741,46.0027901
PI255150,NA,NA,Agronomic,Turkey,NA,NA,NA,-27.24750256,-17.29661155,2.968099241,-13.24042835,-8.474374519,1,1,1,4,NA,NA,NA,NA,20.87316249,100.8458555,5.863690878,6.430895619,NA,NA,NA,NA,NA,NA,NA,NA,19.39285652,62.90329984,19.04058723,77.37324532,109.5850518,102.5493959,4.755775934,9.554275632,5.748029607,-0.047123608,1.561489872,2.806545809,29.49442505
PI273732,57.18805556,39.41527778,Agronomic/Forage,Russia,57 11 17N,39 24 55E,NA,93.06833806,-0.163342754,-29.6652587,0.984741198,-5.942237256,2,3,4,3,8.853601972,1.58172368,70.3705472,62.85194737,15.04671051,102.2090788,5.779175512,10.65697713,8.559329306,8.962480103,1.025360845,3.164579536,69.3823387,73.77685688,62.56063403,64.28633029,5.678057458,11.29016137,6.188663644,112.6936856,104.733461,94.96656616,5.619378908,5.524119058,5.258198618,32.11700333,18.53221789,4.495428117,29.85708925
PI273733,51.73027778,36.19388889,Agronomic/Forage,Russia,51 43 49N,36 11 38E,NA,103.1057524,0.522182808,-27.79617119,1.743677585,3.214177514,2,3,4,3,8.853935312,1.466460463,72.02175278,62.72761699,17.48094247,103.630168,5.806306865,9.371577853,9.661737816,7.518286426,0.881216447,2.189282853,73.60993371,77.71135616,59.50918189,62.59675648,9.207601333,38.28200101,8.667971736,102.6021313,127.7893925,105.0770059,5.731139293,6.589860078,5.247886386,11.80772866,14.24280197,13.81869377,29.85708925
PI273737,NA,NA,Agronomic,Turkmenistan,NA,NA,NA,-28.18812012,24.66877851,-7.717766746,6.884600891,0.000710957,1,2,3,1,NA,NA,NA,NA,16.7074849,102.05118,5.790700334,7.698335221,NA,NA,NA,NA,NA,NA,NA,NA,9.157179278,25.40565436,10.84369108,97.55635408,117.5423118,94.96656616,5.472058401,6.67263608,4.758055397,5.976198795,8.735777991,4.828969137,50.03921532
PI286118,NA,NA,Agronomic,NA,NA,NA,NA,97.86367289,0.067542863,-18.21917332,0.853119853,6.306181614,2,3,4,3,NA,NA,NA,NA,16.00469858,102.5248764,5.807387317,9.667912416,NA,NA,NA,NA,NA,NA,NA,NA,8.148738171,25.08239879,3.102178059,95.03346548,112.4187715,110.1322257,5.715899241,6.388093574,5.510848286,5.888077899,21.11900347,16.32819288,40.95725859
PI297872,NA,NA,Agronomic/Forage,Russia,NA,NA,NA,-6.775703095,22.36829608,-1.211885706,1.729015433,-8.420157749,1,2,3,1,8.7146326,1.545473948,68.87119041,62.84892494,17.11084406,101.4195848,5.804701097,7.869358787,8.584747531,7.058545706,0.912062688,2.931758835,67.26132231,68.23428784,62.12676268,64.87963521,15.4599362,23.95100431,10.99300353,100.0792427,99.60992062,100.021786,5.492378471,6.641595079,5.40142713,9.278140593,6.330875776,6.570871866,43.9845775
PI297876,NA,NA,Agronomic,Russia,NA,NA,NA,-13.72823301,6.130651801,4.252563813,-10.6760031,-12.16366304,1,1,1,4,NA,NA,NA,NA,15.94580587,102.05118,5.740519335,8.366691529,NA,NA,NA,NA,NA,NA,NA,NA,6.283122123,21.63433944,7.453616752,102.6021313,112.4187715,94.96656616,4.450974885,5.224056053,5.082890685,11.68332269,13.05550781,2.748308488,50.03921532
