"PI_Accession","Latitude","Longitude","Cultivar_Name","ID","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9"
"PI383556",39.90861111,41.27666667,NA,96,5.20416688919067,17.216667175293,-7.63333320617676,475,75,18,41.9938507080078,186,65,90,92,12.0083332061768,29.8714752197266,1018.13659667969,26.7000007629395,-13.5,40.2000007629395,9.68333339691162,17.1666679382324
"PI383557",39.90888889,41.27694444,NA,97,5.20416688919067,17.216667175293,-7.63333320617676,475,75,18,41.9938507080078,186,65,90,92,12.0083332061768,29.8714752197266,1018.13659667969,26.7000007629395,-13.5,40.2000007629395,9.68333339691162,17.1666679382324
"PI383558",41.23888889,42.7025,NA,98,1.90416669845581,12,-8.86666679382324,835,101,52,22.6235866546631,276,161,209,173,11.2250003814697,32.1633224487305,857.831481933594,20.2000007629395,-14.6999998092651,34.9000015258789,9.4166669845581,-8.23333358764648
"PI383561",40.60805556,43.0975,NA,99,5.19999980926514,16.4833335876465,-7.86666679382324,456,79,19,49.0419845581055,195,64,150,64,13.25,31.9277114868164,995.163269042969,26.3999996185303,-15.1000003814697,41.5,9.9166669845581,-7.86666679382324
"PI383562",39.91861111,44.04638889,NA,100,11.5625,22.966667175293,-0.883333384990692,273,48,10,47.8771209716797,117,35,59,53,12.0249996185303,30.9922695159912,964.433715820312,31.2999992370605,-7.5,38.7999992370605,16.3166675567627,22.5833339691162
"PI383563",39.91861111,44.04638889,NA,101,11.5625,22.966667175293,-0.883333384990692,273,48,10,47.8771209716797,117,35,59,53,12.0249996185303,30.9922695159912,964.433715820312,31.2999992370605,-7.5,38.7999992370605,16.3166675567627,22.5833339691162
"PI383564",40.60805556,43.0975,NA,102,5.19999980926514,16.4833335876465,-7.86666679382324,456,79,19,49.0419845581055,195,64,150,64,13.25,31.9277114868164,995.163269042969,26.3999996185303,-15.1000003814697,41.5,9.9166669845581,-7.86666679382324
"PI383565",40.61138889,43.41333333,NA,103,5.39583301544189,16.7666664123535,-7.34999990463257,445,81,17,52.2466697692871,197,59,104,59,12.4916667938232,31.0737972259521,985.230590820312,26.3999996185303,-13.8000001907349,40.2000007629395,9.89999961853027,-7.34999990463257
"PI383568",39.91861111,44.04638889,NA,104,11.5625,22.966667175293,-0.883333384990692,273,48,10,47.8771209716797,117,35,59,53,12.0249996185303,30.9922695159912,964.433715820312,31.2999992370605,-7.5,38.7999992370605,16.3166675567627,22.5833339691162
"PI383569",40.62472222,43.09777778,NA,105,5.00833320617676,16.216667175293,-7.8333330154419,446,77,18,49.93603515625,191,60,109,60,13.1166667938232,31.991870880127,983.051452636719,26.1000003814697,-14.8999996185303,41,9.61666679382324,-7.8333330154419
"PI383570",38.08916667,30.82916667,NA,106,10.3958330154419,19.4833335876465,1.5,565,83,12,48.5431785583496,225,44,64,225,9.59166717529297,32.8481712341309,738.100952148438,26.7000007629395,-2.5,29.2000007629395,1.5,19.1833343505859
"PI383571",39.67555556,32.83972222,NA,107,10.7041664123535,20.6833343505859,0.233333304524422,399,54,8,42.6957664489746,139,37,54,128,11.9749994277954,35.0146217346191,829.973876953125,29.2999992370605,-4.90000009536743,34.2000007629395,9.93333339691162,20.4166660308838
"PI383573",38.69611111,34.92583333,NA,108,11.1499996185303,20.4833335876465,1.23333334922791,377,50,5,45.9904136657715,137,27,46,114,12.6000003814697,37.3887252807617,780.911437988281,29.3999996185303,-4.30000019073486,33.7000007629395,10.5500001907349,20.1833324432373
"PI383574",39.50555556,39.94333333,NA,109,5.71250009536743,17.0499992370605,-5.83333349227905,785,115,10,54.9413948059082,301,39,39,246,10.3249998092651,28.5221004486084,940.341125488281,25.5,-10.6999998092651,36.2000007629395,3.89999985694885,17.0499992370605
