<Phenotype>
taxa	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data	data
Taxa	Latitude	Longitude	wc2.1_30s_bio_1	wc2.1_30s_bio_10	wc2.1_30s_bio_11	wc2.1_30s_bio_12	wc2.1_30s_bio_13	wc2.1_30s_bio_14	wc2.1_30s_bio_15	wc2.1_30s_bio_16	wc2.1_30s_bio_17	wc2.1_30s_bio_18	wc2.1_30s_bio_19	wc2.1_30s_bio_2	wc2.1_30s_bio_3	wc2.1_30s_bio_4	wc2.1_30s_bio_5	wc2.1_30s_bio_6	wc2.1_30s_bio_7	wc2.1_30s_bio_8	wc2.1_30s_bio_9
PI401014	41.45	31.88	11.6	19.0	4.35	849.0	114.0	54.0	27.2	289.0	164.0	164.0	276.0	7.78	32.81	607.36	24.1	0.4	23.7	6.0	19.0
PI401015	41.75	35.09	11.14	18.97	3.57	675.0	82.0	33.0	25.81	228.0	121.0	121.0	200.0	7.87	32.11	637.9	24.5	0.0	24.5	8.55	18.97
PI401016	41.02	41.72	8.07	17.57	-2.12	760.0	85.0	48.0	19.19	225.0	154.0	163.0	173.0	10.24	31.61	807.29	25.3	-7.1	32.4	11.68	-1.15
PI401017	40.61	43.1	5.2	16.48	-7.87	456.0	79.0	19.0	49.04	195.0	64.0	150.0	64.0	13.25	31.93	995.16	26.4	-15.1	41.5	9.92	-7.87
PI401018	40.61	43.1	5.2	16.48	-7.87	456.0	79.0	19.0	49.04	195.0	64.0	150.0	64.0	13.25	31.93	995.16	26.4	-15.1	41.5	9.92	-7.87
PI401019	39.94	32.79	11.23	21.47	0.92	388.0	50.0	10.0	39.89	129.0	38.0	57.0	125.0	12.42	35.89	836.86	30.1	-4.5	34.6	10.48	21.02
PI401020	39.78	30.51	11.0	20.38	1.33	435.0	55.0	11.0	39.29	143.0	44.0	69.0	143.0	11.64	36.38	774.7	28.5	-3.5	32.0	1.33	19.9
PI401021	39.78	30.51	11.0	20.38	1.33	435.0	55.0	11.0	39.29	143.0	44.0	69.0	143.0	11.64	36.38	774.7	28.5	-3.5	32.0	1.33	19.9
PI401023	45.15	39.58	11.16	21.95	0.07	773.0	84.0	50.0	17.64	236.0	163.0	197.0	210.0	9.36	28.44	889.9	28.5	-4.4	32.9	1.83	5.68
PI401121	36.65	51.41	15.9	24.43	7.9	1172.0	226.0	30.0	62.18	543.0	118.0	236.0	264.0	7.28	28.53	692.95	29.5	4.0	25.5	17.78	21.7
PI401125	32.59	51.96	15.84	26.85	4.62	136.0	27.0	0.0	80.51	69.0	2.0	3.0	65.0	14.88	37.75	898.3	36.6	-2.8	39.4	6.08	26.17
PI401126	34.31	47.07	14.22	25.5	3.13	512.0	99.0	1.0	81.7	242.0	3.0	4.0	219.0	15.4	38.12	906.86	36.8	-3.6	40.4	4.13	25.13
PI401127	35.32	47.0	12.95	24.97	1.05	529.0	97.0	1.0	78.65	244.0	3.0	5.0	212.0	15.12	36.25	965.79	35.9	-5.8	41.7	6.32	24.55
